I3,I1L,1
I3,I1R,1
M1,I2L,1
M1,I2R,1
M1,I3,1
I2L,I4,1
I2R,I4,1
I5,I4,1
M1,I4,1
I1L,I5,1
I1R,I5,1
M1,I5,1
M5,I5,1
MI,I5,1
I2L,I6,1
I2R,I6,1
I3,I6,1
NSML,I6,1
NSMR,I6,1
I1L,M1,1
I1R,M1,1
I2L,M1,1
I2R,M1,1
I3,M1,1
I4,M1,1
I5,M1,1
M4,M1,1
M5,M1,1
MI,M1,1
I1L,M2L,1
I1R,M2L,1
I3,M2L,1
MI,M2L,1
I1L,M2R,1
I1R,M2R,1
I3,M2R,1
MI,M2R,1
I1L,M3L,1
I1R,M3L,1
I3,M3L,1
I4,M3L,1
I5,M3L,1
I6,M3L,1
M1,M3L,1
MI,M3L,1
NSML,M3L,1
NSMR,M3L,1
I1L,M3R,1
I1R,M3R,1
I3,M3R,1
I4,M3R,1
I5,M3R,1
I6,M3R,1
M1,M3R,1
MI,M3R,1
NSML,M3R,1
NSMR,M3R,1
I3,M4,1
I5,M4,1
I6,M4,1
NSML,M4,1
NSMR,M4,1
I5,M5,1
M1,M5,1
I1L,MCL,1
I1R,MCL,1
I2L,MCL,1
I2R,MCL,1
I3,MCL,1
M1,MCL,1
I1L,MCR,1
I1R,MCR,1
I3,MCR,1
M1,MCR,1
I1L,NSML,1
I1R,NSML,1
I2L,NSML,1
I2R,NSML,1
I3,NSML,1
I4,NSML,1
I5,NSML,1
I6,NSML,1
I1L,NSMR,1
I1R,NSMR,1
I2L,NSMR,1
I2R,NSMR,1
I3,NSMR,1
I4,NSMR,1
I5,NSMR,1
I6,NSMR,1
ASHL,ADFL,3
AWBL,ADFL,9
ASEL,ADFR,1
ASHR,ADFR,2
AWAR,ADFR,3
AWBR,ADFR,4
AIYR,ADFR,1
RIH,ADFR,1
AVHL,ADFR,3
PVPR,ADFR,1
CEPVL,ADLL,1
SDQR,ADLL,1
AVHR,ADLL,1
AIAR,ADLR,2
AVHR,ADLR,2
ASIR,ASEL,2
AWAL,ASEL,4
AWAR,ASEL,1
AWCL,ASEL,1
AWCR,ASEL,1
AIZL,ASEL,1
AINL,ASEL,3
AINR,ASEL,1
ADLL,ASER,3
ADLR,ASER,1
ASIL,ASER,1
AWAR,ASER,2
AFDR,ASER,1
AIAL,ASER,3
AIAR,ASER,1
AIBL,ASER,1
AINR,ASER,2
PVQR,ASER,1
AWAL,ASGL,1
AIAL,ASGL,1
AIML,ASGL,2
AWBR,ASGR,1
AWCR,ASGR,1
CEPVR,ASGR,1
AIAR,ASGR,2
AIMR,ASGR,2
AINL,ASGR,1
ADLL,ASHL,2
URXL,ASHL,1
AIAL,ASHL,1
RMGL,ASHL,1
HSNL,ASHL,1
HSNR,ASHL,2
ADFR,ASHR,1
ADLR,ASHR,3
ASIR,ASHR,1
AWBR,ASHR,2
RIFR,ASHR,2
RMGR,ASHR,1
PVPR,ASHR,1
HSNL,ASHR,2
AVFR,ASJL,1
PVQL,ASJL,1
AIMR,ASJR,2
HSNL,ASJR,1
ASGL,ASKL,1
ASHL,ASKL,1
ASIL,ASKL,2
ASJL,ASKL,4
AIAL,ASKL,3
AIML,ASKL,2
AVFR,ASKL,1
PVQL,ASKL,4
HSNL,ASKL,1
ASJR,ASKR,4
AIMR,ASKR,3
PVQR,ASKR,4
AIYL,AWAL,3
ASER,AWAR,1
ASKR,AWAR,1
AIAR,AWAR,1
AIYR,AWAR,1
PVQR,AWAR,2
ADLL,AWBL,2
AWAL,AWBL,1
HSNL,AWBL,2
HSNR,AWBL,1
ADFR,AWBR,1
AWAR,AWBR,1
RIR,AWBR,1
AVHL,AWBR,1
HSNL,AWBR,2
ASEL,AWCL,4
ASER,AWCL,1
ASIL,AWCL,2
ASIR,AWCL,1
AWCR,AWCL,5
AIAR,AWCL,1
AIYL,AWCL,1
ADLR,AWCR,3
ASEL,AWCR,1
ASER,AWCR,1
ASIL,AWCR,2
ASIR,AWCR,2
AWCL,AWCR,1
AIAL,AWCR,1
AIAR,AWCR,3
AIYL,AWCR,1
ASER,AFDL,2
AWAL,AFDL,5
AINR,AFDL,4
ASER,AFDR,2
AWAR,AFDR,7
AINL,AFDR,5
AINR,AFDR,1
RIR,AFDR,1
IL1L,IL1DL,1
IL2DL,IL1DL,7
CEPDL,IL1DL,4
PVR,IL1DL,1
URADL,IL1DL,2
IL1R,IL1DR,1
IL2DR,IL1DR,7
OLLR,IL1DR,2
CEPDR,IL1DR,5
PVR,IL1DR,1
URADR,IL1DR,1
IL1VL,IL1L,1
IL2L,IL1L,1
ADEL,IL1L,1
URBL,IL1L,1
IL1VR,IL1R,1
IL2R,IL1R,1
CEPDR,IL1R,1
RIAR,IL1R,1
URBR,IL1R,3
URAVR,IL1R,1
IL2VL,IL1VL,7
OLQVL,IL1VL,2
OLLL,IL1VL,2
CEPVL,IL1VL,2
URYVL,IL1VL,1
PVR,IL1VL,1
IL2VR,IL1VR,6
OLQVR,IL1VR,1
OLLR,IL1VR,1
CEPVR,IL1VR,2
URYVR,IL1VR,1
PVR,IL1VR,1
IL2VL,IL2L,1
ADEL,IL2L,2
RIH,IL2L,2
OLLR,IL2R,1
RIH,IL2R,1
URBR,IL2R,1
OLQVL,IL2VL,1
IL1VR,IL2VR,1
CEPVR,IL2VR,2
IL2DL,OLQDL,2
IL2L,OLQDL,5
CEPDL,OLQDL,6
RIPL,OLQDL,1
RIPR,OLQDL,1
RIH,OLQDL,4
IL2R,OLQDR,2
CEPDR,OLQDR,5
AIMR,OLQDR,1
RIPL,OLQDR,1
RIPR,OLQDR,1
RIH,OLQDR,2
ADFL,OLQVL,1
ADLL,OLQVL,1
IL2L,OLQVL,8
IL2VL,OLQVL,1
CEPVL,OLQVL,6
RIH,OLQVL,1
IL2R,OLQVR,7
IL2VR,OLQVR,2
CEPVR,OLQVR,3
URXR,OLQVR,1
RIH,OLQVR,6
CEPDL,OLLL,2
CEPVL,OLLL,4
ADEL,OLLL,2
SAADR,OLLL,1
ADLR,OLLR,1
IL2R,OLLR,2
CEPDR,OLLR,8
CEPVR,OLLR,7
ADER,OLLR,2
RIS,OLLR,1
SAAVL,OLLR,1
RMDL,OLLR,2
VC5,OLLR,1
OLLL,CEPDL,3
ALML,CEPDL,3
