I1R,I1L,1
I2L,I1L,1
I2R,I1L,1
I5,I1L,1
MI,I1L,1
RIPL,I1L,1
RIPR,I1L,1
I1L,I1R,1
I2L,I1R,1
I2R,I1R,1
I5,I1R,1
MI,I1R,1
RIPL,I1R,1
RIPR,I1R,1
I1L,I2L,1
I1R,I2L,1
M1,I2L,1
I1L,I2R,1
I1R,I2R,1
M1,I2R,1
M1,I3,1
M2L,I3,1
M2R,I3,1
MI,I3,1
M1,I4,1
MI,I4,1
I1L,I5,1
I1R,I5,1
M5,I5,1
MI,I5,1
M4,I6,1
M5,I6,1
I2L,M1,1
I2R,M1,1
I3,M1,1
I4,M1,1
MI,M1,1
I3,M2L,1
M2R,M2L,1
M4,M2L,1
M5,M2L,1
MCL,M2L,1
MCR,M2L,1
MI,M2L,1
I3,M2R,1
M2L,M2R,1
M3L,M2R,1
M3R,M2R,1
M4,M2R,1
M5,M2R,1
MCL,M2R,1
MCR,M2R,1
MI,M2R,1
M2R,M3L,1
M3R,M3L,1
MCL,M3L,1
MCR,M3L,1
MI,M3L,1
M2R,M3R,1
M3L,M3R,1
MCL,M3R,1
MCR,M3R,1
MI,M3R,1
I6,M4,1
M2L,M4,1
M2R,M4,1
M4,M4,1
M5,M4,1
I5,M5,1
I6,M5,1
M2L,M5,1
M2R,M5,1
M4,M5,1
M5,M5,1
M2L,MCL,1
M2R,MCL,1
M3L,MCL,1
M3R,MCL,1
MI,MCL,1
M2L,MCR,1
M2R,MCR,1
M3L,MCR,1
M3R,MCR,1
MI,MCR,1
I1L,MI,1
I1R,MI,1
I3,MI,1
I4,MI,1
I5,MI,1
M1,MI,1
M2L,MI,1
M2R,MI,1
M3L,MI,1
M3R,MI,1
MCL,MI,1
MCR,MI,1
ADAL,ADFL,1
AIAR,ADFR,1
ADAR,ADFR,1
ADLR,ADLL,1
OLQVL,ADLL,1
RMGL,ADLL,1
AVDR,ADLL,1
ADLL,ADLR,1
AIZL,ASGL,1
AINR,ASGL,1
AIZR,ASGR,1
AINL,ASGR,1
ASHR,ASHL,1
AIZL,ASHL,1
ADAL,ASHL,1
RICL,ASHL,2
RMGL,ASHL,1
ASHL,ASHR,1
ASKR,ASHR,1
AIZR,ASHR,1
ADAR,ASHR,1
RICR,ASHR,2
RMGR,ASHR,1
ASIR,ASIL,1
AIAL,ASIL,2
ASIL,ASIR,1
AIAR,ASIR,2
ASJR,ASJL,1
ASJL,ASJR,1
ASKR,ASKL,1
RMGL,ASKL,1
PVQL,ASKL,5
ASHR,ASKR,1
ASKL,ASKR,1
RMGR,ASKR,1
PVQR,ASKR,4
AWAR,AWAL,1
AIAL,AWAL,1
AWAL,AWAR,1
AIAR,AWAR,1
AIZR,AWAR,1
AWBR,AWBL,1
AUAL,AWBL,1
RMGL,AWBL,1
AWBL,AWBR,1
AUAR,AWBR,1
RICL,AWBR,1
RMGR,AWBR,1
AFDR,AFDL,1
AIBL,AFDL,1
AFDL,AFDR,1
AIBR,AFDR,1
IL1DR,IL1DL,1
IL1L,IL1DL,1
OLLL,IL1DL,1
RMEV,IL1DL,1
IL1DL,IL1DR,1
IL1R,IL1DR,1
OLLR,IL1DR,1
RMEV,IL1DR,1
IL1DL,IL1L,1
IL1VL,IL1L,1
IL1DR,IL1R,1
IL1VR,IL1R,1
IL1L,IL1VL,1
IL1VR,IL1VL,1
RMED,IL1VL,1
IL1R,IL1VR,1
IL1VL,IL1VR,1
IL2R,IL1VR,1
RMGL,IL2L,1
IL1VR,IL2R,1
URXR,IL2R,1
RMGR,IL2R,1
CEPDL,OLQDL,1
RIBL,OLQDL,2
RIGL,OLQDL,1
URBL,OLQDL,1
RMDVL,OLQDL,1
