FLPL,AIBL,3
BAGL,AIBL,2
AIAL,AIBL,35
AIBL,AIBL,2
AIYL,AIBL,3
AIZL,AIBL,10
AIZR,AIBL,50
ADAL,AIBL,2
ADAR,AIBL,1
AINR,AIBL,2
RIBR,AIBL,3
RICR,AIBL,2
RIGR,AIBL,2
SDQR,AIBL,8
DVC,AIBL,3
PVT,AIBL,5
SAADL,AIBL,1
SAADR,AIBL,1
SAAVL,AIBL,1
RIML,AIBL,1
RIMR,AIBL,15
HSNR,AIBL,2
ADFL,AIBR,1
ADLR,AIBR,27
ASEL,AIBR,13
ASER,AIBR,32
ASGR,AIBR,20
ASHR,AIBR,7
ASIR,AIBR,3
ASKR,AIBR,2
AWBL,AIBR,1
AWCL,AIBR,2
AWCR,AIBR,18
FLPL,AIBR,3
AUAL,AIBR,1
AIAR,AIBR,33
AIZL,AIBR,53
AIZR,AIBR,3
ADAL,AIBR,2
ADAR,AIBR,3
RIBL,AIBR,8
RICR,AIBR,2
RIGL,AIBR,4
RMGL,AIBR,2
SDQL,AIBR,2
DVC,AIBR,3
PVT,AIBR,10
AVBR,AIBR,1
SAADR,AIBR,1
SAAVR,AIBR,1
RIML,AIBR,22
RMHR,AIBR,3
SMDVR,AIBR,1
VB1,AIBR,2
ASEL,AIYL,32
ASER,AIYL,9
ASIL,AIYL,3
AWAL,AIYL,3
AWBL,AIYL,1
AWCL,AIYL,22
AWCR,AIYL,12
AFDL,AIYL,25
BAGR,AIYL,3
AUAL,AIYL,1
AIYR,AIYL,7
RIH,AIYL,3
ADFR,AIYR,2
ASEL,AIYR,21
ASER,AIYR,38
ASGR,AIYR,1
ASIL,AIYR,2
AWAR,AIYR,8
AWBR,AIYR,1
AWCR,AIYR,22
AFDR,AIYR,29
AUAR,AIYR,1
AIBR,AIYR,1
RIH,AIYR,4
ADFL,AIZL,39
ASEL,AIZL,1
ASER,AIZL,1
ASHL,AIZL,3
ASIL,AIZL,1
AWAL,AIZL,23
AWBL,AIZL,15
AWCL,AIZL,1
URXL,AIZL,1
URYDL,AIZL,1
AUAL,AIZL,2
AIAL,AIZL,4
AIYL,AIZL,67
RIAL,AIZL,1
RICR,AIZL,6
RIFR,AIZL,1
RIGL,AIZL,10
RIH,AIZL,12
RIR,AIZL,12
DVA,AIZL,5
SMBDL,AIZL,1
HSNL,AIZL,6
HSNR,AIZL,3
ADFR,AIZR,37
AWAR,AIZR,25
AWBR,AIZR,8
BAGL,AIZR,2
AUAR,AIZR,2
AIAR,AIZR,2
AIBL,AIZR,7
AIYR,AIZR,70
